Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
2.8 сая ₮,Баянзүрх,70.44,2023,23,14,4,Байхгүй
4.1 сая ₮,Хан-Уул,106,2019,10,3,6,Байгаа
3.1 сая ₮,Сүхбаатар,54.23м²,2023,16,15,2,Байхгүй
110 сая ₮,Баянзүрх,34,2012,6,5,2,Байхгүй
190 сая ₮,Сүхбаатар,44,1985,5,2,3,Байхгүй
3.2 сая ₮,Баянзүрх,76.83,2013,16,5,3,Байхгүй
140 сая ₮,Баянзүрх,50.26,2020,16,3,2,Байхгүй
2.9 сая ₮,Баянгол,45.3,2023,17,12,2,Байхгүй
95 сая ₮,Баянзүрх,32.47,1985,4,1,2,Байхгүй
75 сая ₮,Сонгинохайрхан,"34,1",2017,5,3,2,Байхгүй
87 сая ₮,Баянзүрх,50,2023,10,6,2,Байгаа
115 сая ₮,Баянзүрх,29,2014,10,5,2,Байхгүй
94 сая ₮,Баянгол,29.34,2013,5,1,2,Байхгүй
3.2 сая ₮,Баянгол,"62,41",2015,12,10,3,Байхгүй
217 сая ₮,Хан-Уул,62.57м.кв,2022,12,3,2,Байгаа
190 сая ₮,Хан-Уул,78.56,2014,10,2,3,Байхгүй
2.8 сая ₮,Хан-Уул,"83,2",2022,16,16,4,Байгаа
4.2 сая ₮,Баянгол,52.19,2021,16,11,3,Байхгүй
2.3 сая ₮,Хан-Уул,59.91,2019,13,13,2,Байхгүй
80 сая ₮,Хан-Уул,50,2023,12,4,2,Байхгүй
1.4 сая ₮,Чингэлтэй,52,2014,15,15,2,Байхгүй
112 сая ₮,Баянзүрх,44,2013,10,5,2,Байхгүй
224 сая ₮,Баянзүрх,83,1995,5,1,3,Байхгүй
2.5 сая ₮,Хан-Уул,87.77,2021,12,4,3,Байгаа
1.9 сая ₮,Хан-Уул,58.92,2023,12,7,2,Байхгүй
2.8 сая ₮,Баянгол,94.1,2016,9,3,4,Байхгүй
96 сая ₮,Баянзүрх,36,1981,5,4,2,Байхгүй
2.7 сая ₮,Баянгол,"94,1",2012,10,3,5,Байхгүй
4.6 сая ₮,Сүхбаатар,"60,64",2009,12,5,2,Байхгүй
120 сая ₮,Баянгол,18,1980,9,9,2,Байхгүй
210 сая ₮,Баянзүрх,80,2014,6,1,6,Байхгүй
3.1 сая ₮,Хан-Уул,154м2,2016,10,10,6,Байгаа
150 сая ₮,Баянзүрх,1,2000,5,2,4,Байхгүй
3.3 сая ₮,Баянзүрх,70,2010,12,11,4,Байхгүй
122 сая ₮,Хан-Уул,47,1985,6,6,3,Байхгүй
3.3 сая ₮,Баянзүрх,70.25,2010,12,11,4,Байхгүй
190 сая ₮,Баянзүрх,49,2015,10,10,4,Байхгүй
2.8 сая ₮,Сүхбаатар,25м2,2023,16,9,4,Байгаа
150 сая ₮,Баянгол,60,1999,9,8,3,Байхгүй
100 сая ₮,Сонгинохайрхан,47.8,2010,12,2,3,Байхгүй
105 сая ₮,Баянзүрх,40,1998,9,9,2,Байхгүй
125 сая ₮,Баянзүрх,60,1988,9,3,3,Байхгүй
240 сая ₮,Сүхбаатар,90,1990,9,8,4,Байхгүй
190 сая ₮,Сүхбаатар,44,1980,5,2,3,Байхгүй
145 сая ₮,Баянзүрх,43.8,2014,12,2,2,Байхгүй
100 сая ₮,Баянгол,40,2012,6,6,3,Байхгүй
2.3 сая ₮,Баянзүрх,200,2020,12,2,7,Байхгүй
156 сая ₮,Баянгол,53,2013,12,6,2,Байхгүй
110 сая ₮,Сонгинохайрхан,44,2018,12,3,3,Байхгүй
110 сая ₮,Сонгинохайрхан,44,2018,12,3,3,Байхгүй
124 сая ₮,Хан-Уул,51,2023,16,3,2,Байхгүй
90 сая ₮,Баянзүрх,32.4,2011,17,9,2,Байхгүй
150 сая ₮,Хан-Уул,"61,48",2023,12,2,4,Байгаа
155 сая ₮,Баянгол,44.5,2015,11,3,2,Байхгүй
1.3 сая ₮,Баянгол,64.55м2,2009,6,2,3,Байхгүй
230 сая ₮,Баянзүрх,60,2012,15,11,3,Байхгүй
150 сая ₮,Баянгол,60,1990,12,7,3,Байхгүй
200 сая ₮,Сүхбаатар,30,1991,5,4,3,Байхгүй
375 сая ₮,Баянзүрх,150,2005,6,5,8+,Байхгүй
