Үнэ,Дүүрэг,Талбай (м.кв),Ашиглалтад орсон,Барилгын давхар,Хэдэн давхарт,Цонхны тоо,Гараж
3.7 сая ₮,Хан-Уул,77,2022,15,7,5,Байхгүй
75 сая ₮,Баянгол,26,2007,10,9,1,Байхгүй
3.6 сая ₮,Хан-Уул,74.71м2,2022,16,10,3,Байгаа
1.8 сая ₮,Баянзүрх,"40,8",2023,12,3,3,Байгаа
125 сая ₮,Сонгинохайрхан,48,1989,5,5,4,Байхгүй
Үнэ: Асуух,Баянгол,"45,66",2007,6,4,3,Байхгүй
95 сая ₮,Хан-Уул,35,2023,12,2,2,Байхгүй
227 сая ₮,Баянгол,75.59,2023,16,4,4,Байхгүй
78 сая ₮,Баянзүрх,33.95,2017,5,1,2,Байхгүй
1.6 сая ₮,Баянзүрх,"42,44мк",2023,12,8,2,Байгаа
1.6 сая ₮,Баянзүрх,"60,98мк",2023,10,8,3,Байгаа
1.7 сая ₮,Хан-Уул,"66,59мк",2023,12,6,3,Байгаа
168 сая ₮,Баянгол,"57,1",2017,12,8,2,Байхгүй
1.8 сая ₮,Сонгинохайрхан,50m2,2015,9,3,2,Байхгүй
150 сая ₮,Сонгинохайрхан,"56,68",2015,15,10,2,Байхгүй
168 сая ₮,Баянзүрх,"54,39",2011,6,6,4,Байхгүй
138 сая ₮,Баянзүрх,"45,54",2020,16,2,2,Байхгүй
2.9 сая ₮,Хан-Уул,52.7,2018,13,8,2,Байхгүй
136 сая ₮,Сонгинохайрхан,"58,8",2012,12,1,2,Байхгүй
138 сая ₮,Баянгол,50,1990,5,1,3,Байхгүй
80 сая ₮,Баянгол,25.39м2,2011,12,7,1,Байхгүй
75 сая ₮,Сонгинохайрхан,28,2013,15,7,2,Байхгүй
128 сая ₮,Сонгинохайрхан,55,2002,12,2,2,Байхгүй
150 сая ₮,Сонгинохайрхан,55.8,2014,12,4,3,Байхгүй
160 сая ₮,Чингэлтэй,29,1998,5,2,3,Байхгүй
150 сая ₮,Баянгол,60,2006,5,1,3,Байхгүй
90 сая ₮,Сонгинохайрхан,27m2,1980,5,2,2,Байхгүй
189 сая ₮,Хан-Уул,70,2018,12,5,3,Байгаа
3 сая ₮,Хан-Уул,39,2016,10,6,1,Байхгүй
115 сая ₮,Баянзүрх,41,2016,13,5,3,Байхгүй
150 сая ₮,Баянзүрх,"56,64",2015,16,3,2,Байхгүй
123 сая ₮,Сонгинохайрхан,43.7,2023,16,10,2,Байгаа
165 сая ₮,Сонгинохайрхан,51.75,2023,16,8,3,Байгаа
2.4 сая ₮,Сонгинохайрхан,"55,56",2014,9,7,4,Байхгүй
120 сая ₮,Баянгол,"36,76",2020,16,10,1,Байхгүй
95 сая ₮,Сонгинохайрхан,40.06м.кв,2012,12,8,2,Байхгүй
3.2 сая ₮,Хан-Уул,64.5,2021,16,16,3,Байгаа
125 сая ₮,Хан-Уул,47,2014,6,5,2,Байхгүй
1 сая ₮,Сонгинохайрхан,47.5,2012,10,8,2,Байхгүй
185 сая ₮,Баянзүрх,71.4,2013,12,12,4,Байхгүй
128 сая ₮,Баянгол,"36,76",2020,16,10,1,Байхгүй
1.3 сая ₮,Баянзүрх,1.390.000,2023,16,8,2,Байгаа
2.6 сая ₮,Хан-Уул,54.12,2022,12,8,2,Байхгүй
4.1 сая ₮,Хан-Уул,66,2020,16,4,2,Байхгүй
103 сая ₮,Баянгол,38.4,2013,10,8,2,Байхгүй
3.3 сая ₮,Хан-Уул,"69,7",2014,9,6,3,Байхгүй
2.9 сая ₮,Баянзүрх,70,1993,9,8,4,Байхгүй
4.6 сая ₮,Баянзүрх,"71,11мкв",2017,15,7,2,Байгаа
95 сая ₮,Хан-Уул,50,2006,4,1,3,Байхгүй
215 сая ₮,Сүхбаатар,"43,5",2018,15,4,2,Байхгүй
124 сая ₮,Баянзүрх,"45,15",2023,6,2,3,Байгаа
191 сая ₮,Баянзүрх,"69,65",2023,6,4,4,Байгаа
120 сая ₮,Баянзүрх,43.85,2023,6,5,2,Байгаа
175 сая ₮,Баянзүрх,"63,85",2023,6,4,3,Байгаа
127 сая ₮,Баянзүрх,31,1989,5,3,3,Байхгүй
105 сая ₮,Хан-Уул,42,2019,12,9,2,Байхгүй
99 сая ₮,Баянзүрх,41.13,2018,7,3,3,Байхгүй
134 сая ₮,Баянзүрх,41.55,2021,15,12,2,Байхгүй
126 сая ₮,Сүхбаатар,40,2023,16,3,3,Байхгүй
128 сая ₮,Сүхбаатар,40,2023,16,3,3,Байхгүй
4.1 сая ₮,Хан-Уул,126’5,2018,10,1,5,Байхгүй
125 сая ₮,Сонгинохайрхан,48,1988,9,5,3,Байхгүй
175 сая ₮,Хан-Уул,55,2023,4,2,3,Байхгүй
3.8 сая ₮,Хан-Уул,193,2021,10,9,6,Байгаа
2.8 сая ₮,Баянзүрх,50.3,2015,12,11,2,Байхгүй
165 сая ₮,Сонгинохайрхан,51.75,2023,16,3,3,Байгаа
130 сая ₮,Баянгол,60,1996,9,2,3,Байхгүй
168 сая ₮,Баянгол,55,2008,5,2,2,Байхгүй
3.3 сая ₮,Баянзүрх,88,2022,15,12,3,Байгаа
163 сая ₮,Баянзүрх,49.3,2015,12,7,2,Байхгүй
3.3 сая ₮,Баянгол,105.69,2014,12,12,4,Байгаа
88 сая ₮,Баянзүрх,38,2015,12,9,3,Байхгүй
240 сая ₮,Баянзүрх,80,1990,12,8,5,Байхгүй
225 сая ₮,Хан-Уул,96,2012,8,1,3,Байхгүй
3.1 сая ₮,Баянзүрх,62.39,2020,16,14,2,Байхгүй
100 сая ₮,Баянзүрх,49,2005,6,6,2,Байхгүй
170 сая ₮,Баянзүрх,82.5,2012,10,10,4,Байхгүй
186 сая ₮,Чингэлтэй,62,2017,15,8,2,Байхгүй
123 сая ₮,Сонгинохайрхан,60,1990,9,9,3,Байхгүй
85 сая ₮,Баянзүрх,31.88,2018,12,7,1,Байхгүй
210 сая ₮,Баянзүрх,91.53,2015,10,7,3,Байхгүй
90 сая ₮,Баянгол,18,1986,4,4,3,Байхгүй
2.4 сая ₮,Баянзүрх,88,2021,16,12,3,Байгаа
155 сая ₮,Сүхбаатар,61м2,2016,12,11,3,Байхгүй
75 сая ₮,Баянзүрх,26,2013,6,3,1,Байхгүй
190 сая ₮,Баянзүрх,79м2,2000,5,3,4,Байхгүй
166 сая ₮,Баянгол,64.9,2014,10,2,3,Байхгүй
123 сая ₮,Баянзүрх,36,2011,12,3,2,Байхгүй
170 сая ₮,Баянгол,"57,59",2005,6,5,3,Байгаа
160 сая ₮,Баянгол,40,1989,5,5,4,Байхгүй
90 сая ₮,Сонгинохайрхан,39.3,2013,9,9,2,Байхгүй
300 сая ₮,Хан-Уул,79,2020,12,3,3,Байхгүй
261 сая ₮,Баянзүрх,73,2010,10,4,2,Байгаа
280 сая ₮,Хан-Уул,75,2016,12,9,4,Байхгүй
147 сая ₮,Хан-Уул,46,2022,12,10,2,Байхгүй
1.8 сая ₮,Сонгинохайрхан,56м2,2015,9,8,2,Байхгүй
80 сая ₮,Хан-Уул,30.34,2022,7,3,1,Байхгүй
3.5 сая ₮,Хан-Уул,45,2022,3,1,2,Байхгүй
2 сая ₮,Баянзүрх,"44,36-76,56",2023,16,4,2,Байгаа
165 сая ₮,Сонгинохайрхан,80,2000,9,4,4,Байхгүй
185 сая ₮,Баянзүрх,"71,4",2013,12,12,4,Байхгүй
73 сая ₮,Хан-Уул,30.3,2014,5,2,1,Байхгүй
3.6 сая ₮,Хан-Уул,46.5мкв,2020,15,9,4,Байхгүй
195 сая ₮,Чингэлтэй,74,2008,9,7,3,Байгаа
2.5 сая ₮,Хан-Уул,77.2,2019,12,5,5,Байхгүй
170 сая ₮,Сонгинохайрхан,80,2000,9,4,4,Байхгүй
200 сая ₮,Чингэлтэй,70,1990,5,3,4,Байхгүй
195 сая ₮,Баянзүрх,"63,19",2015,16,10,3,Байхгүй
150 сая ₮,Сүхбаатар,"53,19",2018,10,4,3,Байхгүй
170 сая ₮,Сонгинохайрхан,80,2000,9,4,4,Байхгүй
2.6 сая ₮,Баянгол,51,2008,6,1,4,Байхгүй
2.8 сая ₮,Баянгол,37,2015,9,8,3,Байхгүй
260 сая ₮,Сүхбаатар,64,1985,9,3,5,Байхгүй
2.6 сая ₮,Баянгол,51,2008,6,1,4,Байхгүй
3.4 сая ₮,Хан-Уул,92,2021,10,3,4,Байхгүй
4.2 сая ₮,Хан-Уул,54mk-117mk,2023,15,6,3,Байгаа
2 сая ₮,Баянзүрх,"44,36-76,56",2023,16,14,2,Байгаа
155 сая ₮,Сүхбаатар,54,1990,6,2,3,Байхгүй
2 сая ₮,Баянзүрх,"44,36-76,56",2023,16,3,3,Байгаа
2 сая ₮,Баянзүрх,"44,36-76,56",2023,16,6,2,Байгаа
2.6 сая ₮,Баянзүрх,"60,81",2018,16,14,2,Байхгүй
3.8 сая ₮,Хан-Уул,119,2014,6,4,3,Байгаа
75 сая ₮,Сонгинохайрхан,35,2017,5,4,2,Байхгүй
2.5 сая ₮,Хан-Уул,71.51,2023,14,11,3,Байхгүй
2.6 сая ₮,Баянзүрх,57 мкв,2022,12,5,3,Байхгүй
500 сая ₮,Хан-Уул,141,2018,16,15,6,Байгаа
205 сая ₮,Баянгол,89.9,2004,6,4,3,Байхгүй
210 сая ₮,Баянзүрх,55,2018,16,3,2,Байхгүй
105 сая ₮,Баянгол,40m2,1988,9,6,2,Байхгүй
93 сая ₮,Сүхбаатар,32,2020,14,14,2,Байхгүй
119 сая ₮,Баянгол,44,2022,17,17,2,Байхгүй
82 сая ₮,Баянгол,30,2012,5,3,2,Байхгүй
4.5 сая ₮,Сүхбаатар,85,2009,13,8,5,Байгаа
2.7 сая ₮,Баянгол,40,2008,5,1,3,Байхгүй
2.3 сая ₮,Хан-Уул,53,2022,12,2,6,Байгаа
3.2 сая ₮,Хан-Уул,46.98,2023,13,6,3,Байгаа
3.2 сая ₮,Хан-Уул,"77,88",2023,13,6,5,Байгаа
3.2 сая ₮,Хан-Уул,120,2023,13,6,6,Байгаа
115 сая ₮,Баянзүрх,40,2008,12,12,2,Байхгүй
3.8 сая ₮,Хан-Уул,119,2013,6,4,3,Байгаа
94 сая ₮,Баянзүрх,"33,76",2023,14,9,2,Байхгүй
200 сая ₮,Баянзүрх,"52,74",2022,12,11,2,Байгаа
85 сая ₮,Налайх,56,2017,5,4,3,Байхгүй
79 сая ₮,Баянгол,31,2011,16,11,1,Байхгүй
500 сая ₮,Хан-Уул,141,2019,16,15,4,Байгаа
195 сая ₮,Сонгинохайрхан,81,2010,10,1,5,Байхгүй
201 сая ₮,Баянзүрх,80.5,2010,9,3,3,Байхгүй
3.5 сая ₮,Чингэлтэй,65.20,2006,10,8,3,Байхгүй
188 сая ₮,Баянгол,67.22,2015,16,16,3,Байхгүй
153 сая ₮,Баянзүрх,54.8,2022,16,16,4,Байхгүй
2.5 сая ₮,Сонгинохайрхан,72,2009,7,3,3,Байхгүй
130 сая ₮,Баянзүрх,40,2015,12,1,2,Байхгүй
135 сая ₮,Баянгол,56,2012,16,5,3,Байхгүй
100 сая ₮,Баянгол,45.6,2004,6,2,2,Байхгүй
3.1 сая ₮,Баянзүрх,68.64,2023,16,8,3,Байхгүй
110 сая ₮,Баянгол,43мкв,2011,12,6,2,Байхгүй
135 сая ₮,Баянгол,29,1980,9,6,4,Байхгүй
188 сая ₮,Баянгол,67.22,2015,16,16,3,Байхгүй
96 сая ₮,Сонгинохайрхан,55,2003,5,1,3,Байхгүй
124 сая ₮,Баянгол,29,1985,5,1,4,Байхгүй
160 сая ₮,Баянзүрх,61.54,2017,16,14,2,Байгаа
1.8 сая ₮,Баянзүрх,54.94,2023,16,8,2,Байгаа
120 сая ₮,Сонгинохайрхан,47.19 м²,2014,9,6,3,Байхгүй
130 сая ₮,Сүхбаатар,50,1995,5,2,3,Байхгүй
130 сая ₮,Сүхбаатар,50,1995,5,2,3,Байхгүй
